category_order,category,row_order,move_name,input_raw_display,input_token_json,startup,active,recovery,on_hit,on_block,cancel,damage,combo_scaling,drive_gain_on_hit,drive_loss_on_block,drive_loss_on_punish_counter,sa_gain,attribute,notes,enrichment_status,enrichment_review_flags,supercombo_match_status,supercombo_match_method,supercombo_candidate_count,supercombo_field_conflicts,supercombo_field_comparisons_json,human_review_status,human_review_decision,human_review_value_policy,human_review_note,supercombo_section,supercombo_move_type,supercombo_move_id,supercombo_input,supercombo_name,supercombo_damage,supercombo_startup,supercombo_active,supercombo_recovery,supercombo_total,supercombo_hit_advantage,supercombo_block_advantage,supercombo_guard,supercombo_cancel,supercombo_hitconfirm,supercombo_chip,supercombo_damage_scaling,supercombo_punish_advantage,supercombo_perfect_parry_advantage,supercombo_drive_rush_cancel_on_hit,supercombo_drive_rush_cancel_on_block,supercombo_after_drive_rush_on_hit,supercombo_after_drive_rush_on_block,supercombo_hitstun,supercombo_blockstun,supercombo_hitstop,supercombo_drive_damage_block,supercombo_drive_damage_hit,supercombo_drive_gain,supercombo_super_gain_hit,supercombo_super_gain_block,supercombo_invuln,supercombo_armor,supercombo_airborne,supercombo_attack_range,supercombo_range_notes,supercombo_juggle_start,supercombo_juggle_increase,supercombo_juggle_limit,supercombo_projectile_speed,supercombo_pushback_hit,supercombo_pushback_block,supercombo_images,supercombo_hitboxes,supercombo_notes
1,通常技,1,立ち弱P（ジャブ）,icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""立ち弱P（ジャブ）""}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",4,4-6,7,4,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""3"", ""supercombo"": ""3""}, ""damage"": {""match"": true, ""official"": ""300"", ""supercombo"": ""300""}, ""recovery"": {""match"": true, ""official"": ""7"", ""supercombo"": ""7""}, ""startup"": {""match"": true, ""official"": ""4"", ""supercombo"": ""4""}}",,,,,Normals and Target Combos,ground_normal,ryu_5lp,5LP,Standing Light Punch,300,4,3,7,13,+4,-1,LH,Chn Sp SA,13,,20% Starter,+8,-8,+4,-1,+8,+3,14,9,9,500,[2000],250,300 (210),150 (75),,,,1.01,,1,1,0,,0.289,0.378,SF6_Ryu_5lp.png,SF6_Ryu_5lp_hitbox.png,Chains into 5LP/2LP/2LK
2,特殊技,26,不破三連撃（3段目）,icon_punch_m 中 arrow_3 icon_kick_l 弱 arrow_3 icon_kick_h 強,"[{""type"": ""text"", ""value"": ""不破三連撃（3段目）""}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""image"", ""value"": ""arrow_3"", ""src"": ""/6/assets/images/common/controller/arrow_3.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/arrow_3.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_kick_l"", ""src"": ""/6/assets/images/common/controller/icon_kick_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""image"", ""value"": ""arrow_3"", ""src"": ""/6/assets/images/common/controller/arrow_3.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/arrow_3.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_kick_h"", ""src"": ""/6/assets/images/common/controller/icon_kick_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",17,17-20,20,D,-8,※,900,,2500,-3000,-10000,1000,上,※ヒット時、電刃錬気でのみキャンセル可能 クラシック操作:↓+P、モダン操作:↓＋攻撃,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match,1,,"{""active_duration"": {""match"": true, ""official"": ""4"", ""supercombo"": ""4""}, ""recovery"": {""match"": true, ""official"": ""20"", ""supercombo"": ""20""}, ""startup"": {""match"": true, ""official"": ""17"", ""supercombo"": ""17""}}",,,,,Normals and Target Combos,ground_normal,ryu_5mp_lk_hk,5MP~LK~HK,Fuwa Triple Strike 2,900(720),17,4,20,40,KD +36,-8,LH,-,,,,KD +36,-22,,,,,,16,13,3000,[10000],2500,1000 (700),500 (250),,,,,,1,,,,,,SF6_Ryu_5mp_lk_hk.png,SF6_Ryu_5mp_lk_hk_hitbox.png,(refers to scaled damage); 6f gap before HK on block; cancels to Denjin Charge by inputting 2P on hit only (KD Adv. +7)
3,必殺技,27,弱 波動拳,key-d key-dr key-r key-plus icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""弱 波動拳""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-dr"", ""src"": ""/6/assets/images/common/controller/key-dr.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-dr.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-r"", ""src"": ""/6/assets/images/common/controller/key-r.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-r.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",16,,全体 47,2,-5,SA3,700,,1000,-2500,-3000,600,上・弾,,enriched,multiple_candidates,matched,exact_input+same_family+category_move_type+startup_match+damage_match,4,,"{""damage"": {""match"": true, ""official"": ""700"", ""supercombo"": ""700""}, ""startup"": {""match"": true, ""official"": ""16"", ""supercombo"": ""16""}}",,,,,Specials,special,ryu_236lp,236LP,Hadoken,700,16,-,31,47,+2,-5,LH,SA3,4,175,,+6,-21,,,,,34,27,8,2500,[3000],1000,600 (420),300 (150),,,,,,1 air,1,1,0.055,,,SF6_Ryu_236lp.png,SF6_Ryu_236lp_hitbox.png,1-hit projectile; puts airborne opponents into limited juggle state
3,必殺技,28,中 波動拳,key-d key-dr key-r key-plus icon_punch_m 中,"[{""type"": ""text"", ""value"": ""中 波動拳""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-dr"", ""src"": ""/6/assets/images/common/controller/key-dr.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-dr.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-r"", ""src"": ""/6/assets/images/common/controller/key-r.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-r.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",14,,全体 47,0,-7,SA3,700,,1000,-2500,-3000,600,上・弾,,enriched,multiple_candidates,matched,exact_input+same_family+category_move_type+startup_match+damage_match,4,,"{""damage"": {""match"": true, ""official"": ""700"", ""supercombo"": ""700""}, ""startup"": {""match"": true, ""official"": ""14"", ""supercombo"": ""14""}}",,,,,Specials,special,ryu_236mp,236MP,Hadoken,700,14,-,33,47,0,-7,LH,SA3,4,175,,+4,-23,,,,,34,27,8,2500,[3000],1000,600 (420),300 (150),,,,,,1 air,1,1,0.070,,,SF6_Ryu_236lp.png,SF6_Ryu_236p_hitbox.png,1-hit projectile; puts airborne opponents into limited juggle state
3,必殺技,29,強 波動拳,key-d key-dr key-r key-plus icon_punch_h 強,"[{""type"": ""text"", ""value"": ""強 波動拳""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-dr"", ""src"": ""/6/assets/images/common/controller/key-dr.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-dr.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-r"", ""src"": ""/6/assets/images/common/controller/key-r.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-r.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_h"", ""src"": ""/6/assets/images/common/controller/icon_punch_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",12,,全体 47,-2,-9,SA3,700,,1000,-2500,-3000,600,上・弾,,enriched,multiple_candidates,matched,exact_input+same_family+category_move_type+startup_match+damage_match,4,,"{""damage"": {""match"": true, ""official"": ""700"", ""supercombo"": ""700""}, ""startup"": {""match"": true, ""official"": ""12"", ""supercombo"": ""12""}}",,,,,Specials,special,ryu_236hp,236HP,Hadoken,700,12,-,35,47,-2,-9,LH,SA3,4,175,,+2,-25,,,,,34,27,8,2500,[3000],1000,600 (420),300 (150),,,,,,1 air,1,1,0.085,,,SF6_Ryu_236lp.png,SF6_Ryu_236p_hitbox.png,1-hit projectile; puts airborne opponents into limited juggle state
3,必殺技,30,[電刃錬気]波動拳,key-d key-dr key-r key-plus icon_punch,"[{""type"": ""text"", ""value"": ""[電刃錬気]波動拳""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-dr"", ""src"": ""/6/assets/images/common/controller/key-dr.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-dr.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-r"", ""src"": ""/6/assets/images/common/controller/key-r.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-r.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch"", ""src"": ""/6/assets/images/common/controller/icon_punch.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch.png"", ""class_name"": """"}, {""type"": ""separator"", ""value"": ""|""}]",12,,全体 40,D,-1,SA3,1000,始動補正20％ コンボ補正20％,1000,-2500,-3000,600,上・弾,,enriched_reviewed,manual_match,matched_manual,ryu_name_override+same_family+category_move_type+startup_match,1,,"{""startup"": {""match"": true, ""official"": ""12"", ""supercombo"": ""12""}}",accepted,supplemental_link,keep_official_values; link_to_denjin_charge_hadoken; do_not_overwrite_official_damage,[電刃錬気]波動拳は `ryu_236p(charged)` を補助リンクとして採用する。SuperCombo damage 500x2 は合計1000として公式 damage 1000 と対応するが、公式列は上書きしない。,Specials,special,ryu_236p(charged),236HP,Denjin Charge Hadoken,500x2,12,-,28,40,KD +54,-1,LH,SA3,12,125x2,20% Starter; Combo (2 hits),KD +54,-7,,,,,,28 total,"9,9",1250x2,[1500x2],500x2,300x2 (210x2),150x2 (75x2),,,,,,1,"1,2","1,6",0.12,,,SF6_Ryu_236p_charge.png,SF6_Ryu_236p_charge_hitbox.png,2-hit projectile; puts opponent into limited juggle state on hit; only comes out when the HP button is pressed
3,必殺技,31,OD 波動拳,key-d key-dr key-r key-plus icon_punch icon_punch,"[{""type"": ""text"", ""value"": ""OD 波動拳""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-dr"", ""src"": ""/6/assets/images/common/controller/key-dr.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-dr.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-r"", ""src"": ""/6/assets/images/common/controller/key-r.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-r.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch"", ""src"": ""/6/assets/images/common/controller/icon_punch.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch"", ""src"": ""/6/assets/images/common/controller/icon_punch.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch.png"", ""class_name"": """"}, {""type"": ""separator"", ""value"": ""|""}]",12,,全体 40,D,-1,SA2,1000,始動補正20％ コンボ補正20％,0,-2500,-5000,600,上・弾,,enriched_reviewed,ambiguous_match;multiple_candidates,ambiguous,exact_input+family_input+same_family+category_move_type+startup_match,2,,"{""startup"": {""match"": true, ""official"": ""12"", ""supercombo"": ""12""}}",accepted,supplemental_link,keep_official_values; retain_supercombo_multihit_damage_as_supplemental,OD 波動拳は `ryu_236pp` を補助リンクとして採用する。SuperCombo damage 500x2 は公式 damage 1000 の分解情報として扱う。,Specials,special,ryu_236pp,236PP,Hadoken,500x2,12,-,28,40,KD +54,-1,LH,SA2 SA3,12,125x2,20% Starter; Combo (2 hits),KD +54,-7,,,,,,28 total,"9,9",1250x2,[2500x2],-20000,300x2 (210x2),150x2 (75x2),,,,,,1,"1,2","1,6",0.112,,,SF6_Ryu_236pp.png,SF6_Ryu_236pp_hitbox.png,2-hit OD projectile; puts opponent into limited juggle state on hit
3,必殺技,32,[電刃錬気]OD 波動拳,key-d key-dr key-r key-plus icon_punch icon_punch,"[{""type"": ""text"", ""value"": ""[電刃錬気]OD 波動拳""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-dr"", ""src"": ""/6/assets/images/common/controller/key-dr.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-dr.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-r"", ""src"": ""/6/assets/images/common/controller/key-r.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-r.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch"", ""src"": ""/6/assets/images/common/controller/icon_punch.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch"", ""src"": ""/6/assets/images/common/controller/icon_punch.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch.png"", ""class_name"": """"}, {""type"": ""separator"", ""value"": ""|""}]",12,,全体 38,D,2,SA2,1200,始動補正20％ コンボ補正20％,0,-3750,-7000,900,上・弾,,enriched_reviewed,manual_match,matched_manual,ryu_name_override+exact_input+family_input+same_family+category_move_type+startup_match,1,,"{""startup"": {""match"": true, ""official"": ""12"", ""supercombo"": ""12""}}",accepted,supplemental_link,keep_official_values; link_to_denjin_charge_od_hadoken; do_not_overwrite_official_damage,[電刃錬気]OD 波動拳は `ryu_236pp(charged)` を補助リンクとして採用する。SuperCombo damage 400x3 (1200)、total 38、block +2 が公式値と対応する。,Specials,special,ryu_236pp(charged),236PP,Denjin Charge Hadoken,400x3 (1200),12,-,26,38,KD +57,+2,LH,SA2 SA3,13,100x3 (300),20% Starter; Combo (2 hits),KD +57,+6,,,,,,29 total,"5,5,8",1250x3,"[1000x2,3000]",-20000,300x3 (210x3),150x3 (75x3),,,,,,1,"1,1,1","3,3,6",0.145,,,SF6_Ryu_236pp_charge.png,SF6_Ryu_236pp_charge_hitbox.png,3-hit OD projectile; puts opponent into limited juggle state on hit
3,必殺技,33,弱 昇龍拳,key-r key-d key-dr key-plus icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""弱 昇龍拳""}, {""type"": ""image"", ""value"": ""key-r"", ""src"": ""/6/assets/images/common/controller/key-r.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-r.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-dr"", ""src"": ""/6/assets/images/common/controller/key-dr.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-dr.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",5,5-14,21+着地後12,D,-23,SA3,※1100,始動補正30%,2000,-4000,-5000,1000,上,1-14F 空中判定の打撃・空弾属性に対して無敵 7-34F 空中判定 ※持続の3F目以降は個別ダメージ（800）,enriched,multiple_candidates,matched,exact_input+same_family+category_move_type+startup_match+active_duration_match,3,,"{""active_duration"": {""match"": true, ""official"": ""10"", ""supercombo"": ""10""}, ""startup"": {""match"": true, ""official"": ""5"", ""supercombo"": ""5""}}",,,,,Specials,special,ryu_623lp,623LP,Shoryuken,1100(800),5,10,21+12 land,47,KD +38,-23,LH,SA3,17,275,30% Starter,KD +38,-41,,,,,,22,15(13),4000,[5000],2000,1000 (700),500 (250),1-14 Air,,7-35 (FKD),0.906 (1st),,1,1,5(7),,,,SF6_Ryu_623p.png,SF6_Ryu_623p_hitbox.png,Has juggle potential; puts opponent into limited juggle state (can juggle after a high corner anti-air); cannot hit cross-up; does reduced damage and higher juggle limit on active frames 4-10 (weaker as a high-connect anti-air)
3,必殺技,34,中 昇龍拳,key-r key-d key-dr key-plus icon_punch_m 中,"[{""type"": ""text"", ""value"": ""中 昇龍拳""}, {""type"": ""image"", ""value"": ""key-r"", ""src"": ""/6/assets/images/common/controller/key-r.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-r.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-dr"", ""src"": ""/6/assets/images/common/controller/key-dr.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-dr.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",6,6-15,30+着地後12,D,-32,SA3,※1200,始動補正30%,2000,-4000,-5000,1000,上,1-9F 空中判定の打撃・空弾属性に対して無敵 8-44F 空中判定 ※持続の3F目以降は個別ダメージ（800）,enriched,multiple_candidates,matched,exact_input+same_family+category_move_type+startup_match+active_duration_match,3,,"{""active_duration"": {""match"": true, ""official"": ""10"", ""supercombo"": ""10""}, ""startup"": {""match"": true, ""official"": ""6"", ""supercombo"": ""6""}}",,,,,Specials,special,ryu_623mp,623MP,Shoryuken,1200(800),6,10,30+12 land,57,KD +34,-32,LH,SA3,17,300,30% Starter,KD +34,-50,,,,,,22,15(13),4000,[5000],2000,1000 (700),500 (250),1-9 Air,,8-45 (FKD),0.966 (1st),,1,1,5(7),,,,SF6_Ryu_623p.png,SF6_Ryu_623p_hitbox.png,Has juggle potential; cannot hit cross-up; does reduced damage and higher juggle limit on active frames 4-10 (weaker as a high-connect anti-air)
3,必殺技,35,強 昇龍拳,key-r key-d key-dr key-plus icon_punch_h 強,"[{""type"": ""text"", ""value"": ""強 昇龍拳""}, {""type"": ""image"", ""value"": ""key-r"", ""src"": ""/6/assets/images/common/controller/key-r.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-r.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-dr"", ""src"": ""/6/assets/images/common/controller/key-dr.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-dr.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_h"", ""src"": ""/6/assets/images/common/controller/icon_punch_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",7,7-16,34+着地後12,D,-36,SA3,※1400,始動補正30%,2000,-4000,-5000,1000,上,1-8F 空中判定の打撃・空弾属性に対して無敵 9-49F 空中判定 ※持続の2F目以降は個別ダメージ（800）,enriched,multiple_candidates,matched,exact_input+same_family+category_move_type+startup_match+active_duration_match,3,,"{""active_duration"": {""match"": true, ""official"": ""10"", ""supercombo"": ""10""}, ""startup"": {""match"": true, ""official"": ""7"", ""supercombo"": ""7""}}",,,,,Specials,special,ryu_623hp,623HP,Shoryuken,1400(800),7,10,34+12 land,62,KD +37(+29),-39,LH,SA3,22,350,30% Starter,KD +37(+29),-57,,,,,,22,20(13),4000,[5000],2000,1000 (700),500 (250),1-8 Air,,9-50 (FKD),1.186 (1st),,1,1,5(7),,,,SF6_Ryu_623p.png,SF6_Ryu_623p_hitbox.png,"Has juggle potential; cannot hit cross-up; does reduced damage and higher juggle limit on active frames 3-10 (weaker as a high-connect anti-air); higher knockdown advantage on the first 2 active frames (+37 refers to 1st active frame, +29 refers to anti-air with 3rd active frame; actual advantage varies based on height/distance)"
3,必殺技,36,OD 昇龍拳,key-r key-d key-dr key-plus icon_punch icon_punch,"[{""type"": ""text"", ""value"": ""OD 昇龍拳""}, {""type"": ""image"", ""value"": ""key-r"", ""src"": ""/6/assets/images/common/controller/key-r.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-r.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-dr"", ""src"": ""/6/assets/images/common/controller/key-dr.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-dr.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch"", ""src"": ""/6/assets/images/common/controller/icon_punch.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch"", ""src"": ""/6/assets/images/common/controller/icon_punch.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch.png"", ""class_name"": """"}, {""type"": ""separator"", ""value"": ""|""}]",6,6-15,37+着地後15,D,-40,,1600,,0,-2000,0,1000,上,1-8F 完全無敵 8-51F 空中判定,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match,1,,"{""startup"": {""match"": true, ""official"": ""6"", ""supercombo"": ""6""}}",,,,,Specials,special,ryu_623pp,623PP,Shoryuken,800x2,6,"2,8",37+15 land,67,KD +29,-40,LH,-,,200x2,,KD +29,-60,,,,,,22 total,"20,13",2000x2,,-20000,500x2 (350x2),250x2 (125x2),1-8 Full,,8-52 (FKD),1.006 (1st),,"1,1","1,1",6(7),,,,SF6_Ryu_623pp.png,SF6_Ryu_623pp_hitbox.png,Has juggle potential; cannot hit cross-up; only 2nd hit will connect if used too early as an anti-air; extends a combo-only hitbox to make the 1st active frame more consistent
